Date,Employee_ID,Task_Name,Task_Duration(min),Tasks_Completed,Errors
2026-01-01,E001,Task,208,3,0
2026-01-02,E001,Task,190,4,1
2026-01-03,E001,Task,141,2,1
2026-01-04,E001,Task,63,2,2
2026-01-05,E001,Task,89,3,2
2026-01-06,E001,Task,173,2,0
2026-01-07,E001,Task,222,1,0
2026-01-08,E001,Task,94,1,2
2026-01-09,E001,Task,67,3,2
2026-01-10,E001,Task,212,5,2
2026-01-11,E001,Task,118,1,1
2026-01-12,E001,Task,175,5,3
2026-01-13,E001,Task,170,3,2
2026-01-14,E001,Task,203,1,3
2026-01-15,E001,Task,234,1,2
2026-01-16,E001,Task,225,5,0
2026-01-17,E001,Task,179,2,0
2026-01-18,E001,Task,143,1,0
2026-01-19,E001,Task,128,4,0
2026-01-20,E001,Task,153,5,1
2026-01-21,E001,Task,205,5,0
2026-01-22,E001,Task,64,2,1
2026-01-23,E001,Task,180,5,0
2026-01-24,E001,Task,223,1,2
2026-01-25,E001,Task,154,5,1
2026-01-26,E001,Task,157,5,0
2026-01-27,E001,Task,144,1,3
2026-01-28,E001,Task,64,3,2
2026-01-29,E001,Task,190,5,2
2026-01-30,E001,Task,236,1,2
2026-01-31,E001,Task,215,2,1
2026-02-01,E001,Task,103,3,0
2026-02-02,E001,Task,90,5,2
2026-02-03,E001,Task,94,1,0
2026-02-04,E001,Task,161,2,3
2026-02-05,E001,Task,80,2,1
2026-02-06,E001,Task,119,5,0
2026-02-07,E001,Task,74,2,0
2026-02-08,E001,Task,192,5,2
2026-02-09,E001,Task,63,2,0
2026-02-10,E001,Task,224,3,2
2026-02-11,E001,Task,129,1,3
2026-02-12,E001,Task,151,2,0
2026-02-13,E001,Task,150,5,2
2026-02-14,E001,Task,101,5,0
2026-02-15,E001,Task,119,5,1
2026-02-16,E001,Task,198,3,2
2026-02-17,E001,Task,81,5,2
2026-02-18,E001,Task,84,3,3
2026-02-19,E001,Task,240,3,2
2026-02-20,E001,Task,132,2,3
2026-02-21,E001,Task,189,1,1
2026-02-22,E001,Task,143,3,0
2026-02-23,E001,Task,71,2,0
2026-02-24,E001,Task,230,2,0
2026-02-25,E001,Task,81,4,3
2026-02-26,E001,Task,137,2,1
2026-02-27,E001,Task,74,3,2
2026-02-28,E001,Task,154,1,3
2026-03-01,E001,Task,111,1,0
2026-03-02,E001,Task,78,3,3
2026-03-03,E001,Task,180,2,0
2026-03-04,E001,Task,173,4,2
2026-03-05,E001,Task,153,4,0
2026-03-06,E001,Task,234,1,0
2026-03-07,E001,Task,172,2,0
2026-03-08,E001,Task,87,4,2
2026-03-09,E001,Task,73,2,0
2026-03-10,E001,Task,145,1,2
2026-03-11,E001,Task,109,1,1
2026-03-12,E001,Task,72,5,2
2026-03-13,E001,Task,233,1,1
2026-03-14,E001,Task,232,1,2
2026-03-15,E001,Task,69,4,1
2026-03-16,E001,Task,198,2,3
2026-03-17,E001,Task,94,1,3
2026-03-18,E001,Task,101,3,0
2026-03-19,E001,Task,195,1,1
2026-03-20,E001,Task,152,4,2
2026-03-21,E001,Task,126,2,3
2026-03-22,E001,Task,88,1,2
2026-03-23,E001,Task,137,3,0
2026-03-24,E001,Task,112,2,1
2026-03-25,E001,Task,183,4,1
2026-03-26,E001,Task,235,2,3
2026-03-27,E001,Task,160,2,0
2026-03-28,E001,Task,210,4,1
2026-03-29,E001,Task,189,4,3
2026-03-30,E001,Task,68,1,1
2026-03-31,E001,Task,100,2,1
2026-04-01,E001,Task,84,4,1
2026-04-02,E001,Task,66,4,0
2026-04-03,E001,Task,79,1,0
2026-04-04,E001,Task,199,4,1
2026-04-05,E001,Task,144,4,3
2026-04-06,E001,Task,178,2,2
2026-04-07,E001,Task,156,5,2
2026-04-08,E001,Task,198,1,1
2026-04-09,E001,Task,178,3,2
2026-04-10,E001,Task,115,1,1
2026-04-11,E001,Task,173,1,2
2026-04-12,E001,Task,111,2,0
2026-04-13,E001,Task,196,5,1
2026-04-14,E001,Task,226,3,1
2026-04-15,E001,Task,240,2,0
2026-04-16,E001,Task,208,5,1
2026-04-17,E001,Task,105,5,3
2026-04-18,E001,Task,111,2,0
2026-04-19,E001,Task,231,4,1
2026-04-20,E001,Task,120,5,0
2026-04-21,E001,Task,85,5,2
2026-04-22,E001,Task,238,3,2
2026-04-23,E001,Task,221,5,1
2026-04-24,E001,Task,124,2,2
2026-04-25,E001,Task,234,2,1
2026-04-26,E001,Task,156,5,1
2026-04-27,E001,Task,173,3,3
2026-04-28,E001,Task,119,2,1
2026-04-29,E001,Task,205,3,1
2026-04-30,E001,Task,113,4,1
2026-05-01,E001,Task,148,1,2
2026-05-02,E001,Task,70,3,1
2026-05-03,E001,Task,121,2,1
2026-05-04,E001,Task,61,1,2
2026-05-05,E001,Task,195,1,3
2026-05-06,E001,Task,135,3,1
2026-05-07,E001,Task,183,2,1
2026-05-08,E001,Task,168,1,0
2026-05-09,E001,Task,227,3,2
2026-05-10,E001,Task,196,5,3
2026-05-11,E001,Task,66,3,1
2026-05-12,E001,Task,100,2,1
2026-05-13,E001,Task,110,5,0
2026-05-14,E001,Task,129,5,1
2026-05-15,E001,Task,66,4,0
2026-05-16,E001,Task,114,4,0
2026-05-17,E001,Task,229,4,3
2026-05-18,E001,Task,108,5,2
2026-05-19,E001,Task,66,1,0
2026-05-20,E001,Task,237,4,0
2026-05-21,E001,Task,175,4,0
2026-05-22,E001,Task,129,1,3
2026-05-23,E001,Task,220,4,1
2026-05-24,E001,Task,113,1,1
2026-05-25,E001,Task,227,5,1
2026-05-26,E001,Task,75,5,2
2026-05-27,E001,Task,61,5,1
2026-05-28,E001,Task,171,2,2
2026-05-29,E001,Task,210,2,0
2026-05-30,E001,Task,115,4,2
2026-05-31,E001,Task,162,1,2
2026-06-01,E001,Task,177,4,3
2026-06-02,E001,Task,200,5,0
2026-06-03,E001,Task,209,3,2
2026-06-04,E001,Task,155,2,1
2026-06-05,E001,Task,165,2,3
2026-06-06,E001,Task,220,5,2
2026-06-07,E001,Task,231,2,2
2026-06-08,E001,Task,80,1,3
2026-06-09,E001,Task,156,3,2
2026-06-10,E001,Task,89,3,3
2026-06-11,E001,Task,76,5,3
2026-06-12,E001,Task,231,3,3
2026-06-13,E001,Task,190,4,2
2026-06-14,E001,Task,107,3,1
2026-06-15,E001,Task,90,3,3
2026-06-16,E001,Task,144,5,1
2026-06-17,E001,Task,232,3,0
2026-06-18,E001,Task,159,1,1
2026-06-19,E001,Task,64,4,0
2026-06-20,E001,Task,79,3,0
2026-06-21,E001,Task,143,5,1
2026-06-22,E001,Task,219,2,1
2026-06-23,E001,Task,111,2,0
2026-06-24,E001,Task,198,3,1
2026-06-25,E001,Task,146,5,3
2026-06-26,E001,Task,222,5,3
2026-06-27,E001,Task,141,1,0
2026-06-28,E001,Task,159,1,3
2026-06-29,E001,Task,119,3,0
2026-06-30,E001,Task,89,1,3
2026-07-01,E001,Task,88,1,3
2026-07-02,E001,Task,206,3,0
2026-07-03,E001,Task,69,4,0
2026-07-04,E001,Task,76,5,0
2026-07-05,E001,Task,126,5,1
2026-07-06,E001,Task,207,2,3
2026-07-07,E001,Task,151,2,0
2026-07-08,E001,Task,231,3,1
2026-07-09,E001,Task,113,1,0
2026-07-10,E001,Task,231,2,2
2026-07-11,E001,Task,87,1,0
2026-07-12,E001,Task,205,3,0
2026-07-13,E001,Task,172,1,0
2026-07-14,E001,Task,161,5,0
2026-07-15,E001,Task,97,2,1
2026-07-16,E001,Task,214,1,2
2026-07-17,E001,Task,203,2,0
2026-07-18,E001,Task,111,5,2
2026-07-19,E001,Task,206,5,1
2026-07-20,E001,Task,214,3,1
2026-07-21,E001,Task,198,5,1
2026-07-22,E001,Task,80,5,1
2026-07-23,E001,Task,226,5,3
2026-07-24,E001,Task,216,5,1
2026-07-25,E001,Task,178,1,1
2026-07-26,E001,Task,239,1,1
2026-07-27,E001,Task,117,1,1
2026-07-28,E001,Task,215,4,3
2026-07-29,E001,Task,153,4,1
2026-07-30,E001,Task,231,5,0
2026-07-31,E001,Task,229,5,0
2026-08-01,E001,Task,127,2,3
2026-08-02,E001,Task,131,2,3
2026-08-03,E001,Task,79,3,3
2026-08-04,E001,Task,217,1,0
2026-08-05,E001,Task,209,1,3
2026-08-06,E001,Task,212,4,2
2026-08-07,E001,Task,129,1,0
2026-08-08,E001,Task,216,2,2
2026-08-09,E001,Task,111,3,1
2026-08-10,E001,Task,181,5,1
2026-08-11,E001,Task,233,4,2
2026-08-12,E001,Task,236,4,3
2026-08-13,E001,Task,124,1,1
2026-08-14,E001,Task,225,2,3
2026-08-15,E001,Task,171,5,0
2026-08-16,E001,Task,192,2,3
2026-08-17,E001,Task,146,4,1
2026-08-18,E001,Task,105,1,3
2026-08-19,E001,Task,206,5,3
2026-08-20,E001,Task,105,3,0
2026-08-21,E001,Task,105,2,2
2026-08-22,E001,Task,237,5,0
2026-08-23,E001,Task,108,1,0
2026-08-24,E001,Task,165,1,3
2026-08-25,E001,Task,230,4,1
2026-08-26,E001,Task,186,3,2
2026-08-27,E001,Task,105,3,1
2026-08-28,E001,Task,135,5,1
2026-08-29,E001,Task,216,1,1
2026-08-30,E001,Task,171,5,0
2026-08-31,E001,Task,220,1,3
2026-09-01,E001,Task,119,2,1
2026-09-02,E001,Task,185,2,1
2026-09-03,E001,Task,164,2,0
2026-09-04,E001,Task,70,2,1
2026-09-05,E001,Task,93,2,0
2026-09-06,E001,Task,156,1,1
2026-09-07,E001,Task,75,4,3
2026-09-08,E001,Task,95,4,0
2026-09-09,E001,Task,106,5,3
2026-09-10,E001,Task,195,4,0
